# Lc(Cup_Length): 24.0
# Rc(Cup_Radius): 8.75
# Rt(Throat_Radius): 2.0
# A(Slope Angle): -5.0
# Beta(inflection point param): 0.5
# (a,b,c)(atan function params): 2.8962627747517673,-0.19411746546522038,5.375
x,y
6.5,7.744441143838121
6.55,7.731240632013531
6.6,7.717911579638237
6.65,7.704452672953849
6.7,7.690862594914844
6.75,7.677140025785371
6.8,7.663283643768199
6.85,7.649292125666859
6.9,7.635164147582033
6.95,7.620898385643227
7.0,7.606493516776804
7.05,7.591948219511419
7.1,7.577261174821924
7.15,7.562431067012765
7.2,7.547456584641942
7.25,7.532336421486523
7.3,7.517069277550743
7.35,7.501653860117653
7.4,7.486088884845301
7.45,7.470373076908339
7.5,7.45450517218598
7.55,7.4384839184971305
7.6,7.4223080768835
7.65,7.405976422941448
7.7,7.389487748203237
7.75,7.372840861568305
7.8,7.356034590785116
7.85,7.339067783984028
7.9,7.321939311261543
7.95,7.304648066316222
8.0,7.287192968136402
8.05,7.269572962739762
8.1,7.2517870249646545
8.15,7.2338341603129654
8.2,7.215713406844146
8.25,7.197423837119871
8.3,7.178964560198645
8.35,7.160334723679466
8.4,7.141533515793495
8.45,7.122560167542469
8.5,7.103413954882383
8.55,7.084094200950753
8.6,7.064600278335535
8.65,7.0449316113835305
8.7,7.025087678545889
8.75,7.0050680147579865
8.8,6.984872213850784
8.85,6.964499930990404
8.9,6.943950885142425
8.95,6.923224861557102
9.0,6.9023217142713795
9.05,6.881241368623305
9.1,6.859983823774124
9.15,6.838549155232999
9.2,6.81693751737903
9.25,6.795149145974892
9.3,6.7731843606661375
9.35,6.751043567459849
9.4,6.728727261176078
9.45,6.706236027865177
9.5,6.68357054718385
9.55,6.660731594722479
9.6,6.6377200442760325
9.65,6.61453687005057
9.7,6.591183148797226
9.75,6.567660061865241
9.8,6.543968897165536
9.85,6.520111051036093
9.9,6.4960880300003385
9.95,6.471901452409639
10.0,6.447553049960909
10.05,6.42304466908041
10.1,6.398378272164768
10.15,6.373555938670356
10.2,6.348579866042294
10.25,6.32345237047446
10.3,6.298175887492174
10.35,6.272752972349414
10.4,6.2471863002328005
10.45,6.22147866626492
10.5,6.195632985299988
10.55,6.169652291505357
10.6,6.143539737722853
10.65,6.117298594604562
10.7,6.090932249518306
10.75,6.064444205218709
10.8,6.03783807828054
10.85,6.01111759729175
10.9,5.984286600804473
10.95,5.957349035043127
11.0,5.930308951369626
11.05,5.903170503506655
11.1,5.875937944520928
11.15,5.84861562356928
11.2,5.821207982411514
11.25,5.793719551694797
11.3,5.766154947015542
11.35,5.73851886476559
11.4,5.710816077770545
11.45,5.683051430729094
11.5,5.655229835463028
11.55,5.627356265988643
11.6,5.599435753421052
11.65,5.571473380723731
11.7,5.54347427731646
11.75,5.515443613555467
11.8,5.487386595100277
11.85,5.45930845718233
11.9,5.431214458790935
11.95,5.403109876792591
12.0,5.375
12.05,5.346890123207409
12.1,5.318785541209065
12.15,5.29069154281767
12.2,5.262613404899723
12.25,5.234556386444533
12.3,5.20652572268354
12.35,5.178526619276269
12.4,5.150564246578948
12.45,5.122643734011357
12.5,5.094770164536972
12.55,5.066948569270906
12.6,5.039183922229455
12.65,5.01148113523441
12.7,4.983845052984458
12.75,4.956280448305203
12.8,4.928792017588486
12.85,4.90138437643072
12.9,4.874062055479072
12.95,4.846829496493345
13.0,4.819691048630374
13.05,4.792650964956873
13.1,4.765713399195527
13.15,4.73888240270825
13.2,4.71216192171946
13.25,4.685555794781291
13.3,4.659067750481694
13.35,4.632701405395438
13.4,4.606460262277147
13.45,4.580347708494643
13.5,4.554367014700012
13.55,4.52852133373508
13.6,4.5028136997671995
13.65,4.477247027650586
13.7,4.451824112507826
13.75,4.42654762952554
13.8,4.401420133957706
13.85,4.376444061329644
13.9,4.351621727835232
13.95,4.32695533091959
14.0,4.302446950039091
14.05,4.278098547590361
14.1,4.2539119699996615
14.15,4.229888948963907
14.2,4.206031102834464
14.25,4.182339938134759
14.3,4.158816851202774
14.35,4.13546312994943
14.4,4.1122799557239675
14.45,4.089268405277521
14.5,4.06642945281615
14.55,4.043763972134823
14.6,4.021272738823922
14.65,3.998956432540151
14.7,3.9768156393338625
14.75,3.954850854025108
14.8,3.9330624826209704
14.85,3.9114508447670007
14.9,3.8900161762258754
14.95,3.8687586313766946
15.0,3.8476782857286205
15.05,3.826775138442897
15.1,3.806049114857575
15.15,3.785500069009596
15.2,3.7651277861492156
15.25,3.7449319852420135
15.3,3.724912321454111
15.35,3.705068388616469
15.4,3.6853997216644654
15.45,3.6659057990492467
15.5,3.6465860451176173
15.55,3.627439832457531
15.6,3.608466484206505
15.65,3.5896652763205337
15.7,3.571035439801355
15.75,3.552576162880129
15.8,3.534286593155854
